,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eletricidade e Gás,35,-6,-35,34,-11,9,-11,3,-5,119,0,22,92,-6,27,150,13,-4,179,8,95,71,19,12,17,-5,7,0,829
,"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",153,0,52,-3,67,2,10,15,295,125,108,38,147,28,17,-169,-497,31,392,515,95,99,217,-26,-5,333,81,0,2120
,Construção,4,67,674,-103,1598,-24,83,893,177,2334,303,594,2354,866,880,2540,1092,574,1809,4059,435,449,1009,762,889,535,-1003,5,23855
,Comércio; reparação de veículos automotores e motocicletas,422,172,649,269,2199,36,458,1238,615,1458,814,719,1217,603,600,2519,4819,1438,2721,4611,2860,2343,952,420,306,1716,106,0,36280
,Serviços,386,580,1903,89,4102,486,903,708,1390,3727,984,3366,850,1890,1433,5235,7651,1753,10309,33787,6690,7576,2827,-203,1069,2749,4365,1,106606
,"Transporte, armazenagem e correio",22,62,277,24,446,-12,95,144,73,225,105,113,499,631,141,669,266,590,788,7236,239,1182,235,-107,238,-111,35,0,14105
,Alojamento e alimentação,43,23,295,31,736,13,365,354,144,469,157,209,341,349,181,1051,1470,133,1345,4536,1035,774,615,-1,110,613,-23,0,15368
,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",150,350,1045,-59,1970,380,5,203,659,2020,430,2660,1591,401,622,1190,4762,568,4521,14934,2605,5004,2348,-333,542,1342,2960,3,52873
,Informação e Comunicação,87,-63,-10,-7,22,-7,37,-92,58,1319,-31,100,186,66,21,81,73,41,246,219,18,255,207,-56,110,-16,184,0,3048
,"Atividades Financeiras, de Seguros e Serviços Relacionados",22,0,16,-2,45,2,5,32,3,43,18,34,98,22,-3,26,292,45,249,-852,149,129,27,-31,42,-19,-59,1,334
,Atividades Imobiliárias,-4,-6,16,-15,1,-4,5,8,15,27,48,28,25,85,5,52,65,54,-4,-22,65,23,91,1,-34,19,30,0,574
,"Atividades Profissionais, Científicas e Técnicas",83,42,86,-2,185,43,72,224,125,399,238,138,582,-114,135,300,1491,151,1567,3731,422,1124,661,-222,-31,455,237,1,12123
,Atividades Administrativas e Serviços Complementares,-38,377,937,-33,1717,346,-114,31,458,232,157,2360,700,342,464,731,2841,277,2463,11858,1951,3473,1362,-25,455,903,2568,1,36794
,"Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais",103,145,132,45,628,95,263,-220,314,737,194,389,-1975,407,458,1812,230,225,1929,7139,2313,105,-702,181,-12,868,1185,-3,16985
,"Administração Pública, Defesa e Seguridade Social",-108,61,-2,6,-85,39,10,1116,10,7,69,1,-11,127,25,118,126,114,84,152,526,110,-12,10,34,-4,9,0,2532
,Educação,175,55,219,4,312,-3,88,136,174,-354,82,167,310,109,92,586,1311,88,713,2764,801,341,193,122,137,377,505,0,9504
,Saúde Humana e Serviços Sociais,36,29,-85,35,401,59,165,-1472,130,1084,43,221,-2274,171,341,1108,-1207,23,1132,4223,986,-346,-883,49,-183,495,671,-3,4949
,Serviços domésticos,-1,0,0,0,-1,0,0,2,0,-1,8,1,1,0,0,1,2,-2,-2,-1,-1,3,-2,-1,3,6,-1,0,14
,Outros serviços,69,0,154,48,323,10,175,225,200,277,90,-6,393,102,31,512,921,239,1728,-57,499,508,333,58,188,31,209,1,7261
,"Artes, Cultura, Esporte e Recreação",-14,4,30,14,94,15,63,19,93,35,25,-8,114,13,-20,163,478,48,663,616,226,261,109,34,-12,132,79,0,3274
,Outras Atividades de Serviços,83,-4,123,35,231,-5,112,206,107,242,65,2,278,89,51,349,443,192,1064,-677,272,247,223,24,200,-101,125,1,3977
,Organismos Internacionais e Outras Instituições Extraterritoriais,0,0,1,-1,-2,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,4,1,0,1,0,0,0,5,0,10
,Não identificado,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1
,Não identificado,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1
,Não identificado,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1
,Fonte: Novo Caged – MTE.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1
